Internship Id,Role,Company Name,Location,Duration,Stipend,Intern Type,Skills,Perks,Hiring Since,Opportunity Date,Opening,Hired Candidate,Number of Applications,Website Link
2462481,Business Development (Sales) Internship,Punjabi Burgers,"('Bangalore',)",3 Months,"₹ 15,000 /month +  Incentives",['Internship'],"['English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code']",Hiring since December 2022,57 opportunities posted,4,16 candidates hired,Be an early applicant,http://punjabiburgers.com
2462449,Graphic Design Internship,Brandshark,"('Bangalore',)",3 Months,"₹ 10,000 /month",['Internship'],"['Adobe Illustrator', 'Adobe Photoshop']",,Hiring since February 2023,93 opportunities posted,4,4 candidates hired,Be an early applicant,https://www.brandshark.com
2461927,Content Writing Internship,LifeGuru.app,"('Bangalore',)",4 Months,"₹ 25,000 /month",['Internship with job offer'],"['Content Marketing', 'Content Writing', 'Search Engine Optimization (SEO)']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code', 'Job offer']",Hiring since August 2023,3 opportunities posted,1,3 candidates hired,Be an early applicant,
2462544,Web Development Internship (Part time/Remote),Infits,"('Work from home',)",3 Months,"₹ 5,000 /month",['Internship'],"['Cloud Firestore', 'Firebase', 'JavaScript', 'MySQL', 'Node.js', 'ReactJS', 'REST API']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']",Hiring since April 2024,4 opportunities posted,5,,42 applicants,http://infits.in
2462511,Flutter Development Internship (Part time/Remote),Infits,"('Work from home',)",3 Months,"₹ 5,000 /month",['Internship'],"['Android', 'Cloud Firestore', 'Dart', 'Firebase', 'Flutter', 'iOS', 'REST API']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']",Hiring since April 2024,4 opportunities posted,10,,Be an early applicant,http://infits.in
2462371,Human Resources (HR) Internship,HireDesigners,"('Noida',)",3 Months,"₹ 8,000-10,000 /month",['Internship'],"['Effective Communication', 'Email Marketing', 'MS-Excel', 'MS-Office', 'MS-Word']","['Certificate', 'Letter of recommendation', 'Informal dress code', '5 days a week']",Hiring since August 2023,10 opportunities posted,2,3 candidates hired,Be an early applicant,http://hiredesigners.in
2462346,Mathematics Teacher Internship,Refining Skills Academy (RS Academy),"('Bangalore',)",6 Months,"₹ 33,000 /month",['Internship with job offer'],['Time Management'],['Job offer'],Hiring since September 2022,28 opportunities posted,3,1 candidate hired,Be an early applicant,https://rsacademy.in
2462361,Science Teacher Internship,Refining Skills Academy (RS Academy),"('Bangalore',)",6 Months,"₹ 33,000 /month",['Internship with job offer'],['Time Management'],['Job offer'],Hiring since September 2022,28 opportunities posted,2,1 candidate hired,Be an early applicant,https://rsacademy.in
2462394,Script Writing Internship,Tring,"('Mumbai',)",3 Months,"₹ 11,000 /month",['Internship'],"['Letter of recommendation', 'Informal dress code']","['Letter of recommendation', 'Informal dress code']",Hiring since May 2021,477 opportunities posted,2,21 candidates hired,Be an early applicant,https://www.tring.co.in/
2462406,B2B Sales Internship,Tring,"('Mumbai',)",3 Months,"₹ 15,000 /month",['Internship with job offer'],"['Lead Generation', 'Sales']","['Informal dress code', 'Job offer']",Hiring since May 2021,477 opportunities posted,5,21 candidates hired,Be an early applicant,https://www.tring.co.in/
2462369,Talent Acquisition Internship,Eat Nino Private Limited,"('Mumbai',)",6 Months,"₹ 12,000 /month",['Internship'],['Recruitment'],"['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code', 'Free snacks & beverages']",Hiring since August 2022,19 opportunities posted,2,1 candidate hired,Be an early applicant,https://eatnino.com/pages/nino-burger
2450244,Teaching Internship,Bricks 4 Kidz,"('Delhi',)",6 Months,"₹ 14,000-15,000 /month",['Internship'],"['English Proficiency (Spoken)', 'MS-Excel', 'MS-PowerPoint', 'MS-Word', 'Teaching']","['Certificate', 'Letter of recommendation', 'Flexible work hours']",Hiring since February 2018,65 opportunities posted,4,21 candidates hired,30 applicants,http://www.bricks4kidzindia.co.in/delhi
2461594,Business Development (Sales) Internship,7Entertainment,"('Mumbai',)",6 Months,"₹ 10,000 /month",['Internship'],"['Content Marketing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'Music', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Informal dress code', '5 days a week', 'Free snacks & beverages']",Hiring since July 2018,2 opportunities posted,4,,Be an early applicant,
2461738,Field Services Internship,Planys Technologies Private Limited,"('Chennai',)",6 Months,"₹ 15,000 /month",['Internship'],"['AutoCAD', 'MS-Office']","['Certificate', 'Informal dress code', 'Free snacks & beverages']",Hiring since April 2024,4 opportunities posted,2,,Be an early applicant,http://planystech.com
2462295,Law/Legal Internship,Hamari Pahchan NGO,"('Delhi',)",3 Months,"₹ 3,000-5,000 /month",['Internship'],"['English Proficiency (Spoken)', 'English Proficiency (Written)']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']",Hiring since November 2016,635 opportunities posted,3,125789 candidates hired,Be an early applicant,
2462228,Graphic Design Internship,Fabulous Media Private Limited,"('Gurgaon',)",6 Months,"₹ 5,000-15,000 /month",['Internship'],"['Adobe After Effects', 'Adobe Creative Suite', 'Adobe Illustrator', 'Adobe Indesign', 'Adobe Photoshop', 'Adobe Photoshop Lightroom CC', 'Adobe Premiere Pro', 'CorelDRAW', 'UI & UX Design', 'Video Editing']","['Certificate', 'Letter of recommendation', 'Informal dress code']",Hiring since September 2016,351 opportunities posted,5,16 candidates hired,Be an early applicant,https://fabulousmedia.in
2462219,Social Media Marketing Internship,Right Health & Pharmaceuticals,"('Mumbai',)",3 Months,"₹ 10,000-40,000 /month",['Internship with job offer'],"['Adobe After Effects', 'Adobe Photoshop Lightroom CC', 'Canva', 'Content Marketing', 'Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Social Media Marketing', 'Video Editing', 'Video Making']","['Certificate', 'Letter of recommendation', 'Free snacks & beverages', 'Job offer']",Hiring since February 2023,92 opportunities posted,3,2 candidates hired,Be an early applicant,http://www.righthealthindia.com
2462130,Video Editing/Making Internship,APTAGRIM CONSULTING PRIVATE LIMITED,"('Hyderabad',)",3 Months,"₹ 15,000 /month",['Internship with job offer'],"['Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Final Cut Pro', 'Video Editing']","['Certificate', 'Letter of recommendation', '5 days a week', 'Free snacks & beverages', 'Job offer']",Hiring since March 2023,52 opportunities posted,1,12 candidates hired,Be an early applicant,https://aptagrim.com/
2462020,Social Media Marketing Internship,Guruji Astro,"('Jaipur',)",6 Months,"₹ 8,000-12,000 /month",['Internship'],"['Creative Writing', 'Digital Marketing', 'English Proficiency (Spoken)', 'Instagram Marketing', 'Search Engine Optimization (SEO)', 'Social Media Marketing', 'Voice-over artist']","['Certificate', 'Letter of recommendation', 'Informal dress code']",Hiring since April 2019,615 opportunities posted,3,86 candidates hired,Be an early applicant,
2461706,Content Writing Internship,Requin Solutions Private Limited,"('Jaipur',)",6 Months,"₹ 10,000-12,000 /month",['Internship'],"['Creative Writing', 'English Proficiency (Written)', 'Research and Analytics']",['Certificate'],Hiring since September 2021,355 opportunities posted,10,60 candidates hired,Be an early applicant,
2449817,Social Media Marketing Internship,Reya International,"('Noida',)",6 Months,"₹ 8,000 /month",['Internship'],"['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Optimization (SEO)', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Informal dress code']",Hiring since October 2023,11 opportunities posted,2,,Be an early applicant,
2461931,Graphic Design Internship,Goodera,"('Bangalore',)",6 Months,"₹ 20,000 /month",['Internship'],['Adobe Photoshop'],"['Certificate', 'Flexible work hours', 'Informal dress code', '5 days a week', 'Free snacks & beverages']",Hiring since November 2021,145 opportunities posted,1,37 candidates hired,Be an early applicant,http://www.goodera.com
2462357,Digital Marketing Internship,Dev Jewels,"('Surat',)",6 Months,"₹ 7,000-13,000 /month",['Internship'],"['Adobe Photoshop Lightroom CC', 'Canva', 'English Proficiency (Written)', 'Instagram Marketing', 'Photography', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Informal dress code', 'Free snacks & beverages']",Hiring since June 2021,41 opportunities posted,1,4 candidates hired,Be an early applicant,
2462293,Business Development (Sales) Internship,Evogue Media LLP,"('Mumbai',)",3 Months,"₹ 10,000-12,000 /month",['Internship'],"['Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Sales pitch']","['Certificate', 'Letter of recommendation', 'Informal dress code']",Hiring since December 2018,242 opportunities posted,2,31 candidates hired,Be an early applicant,
2461791,Digital Marketing Internship,Engineer's Cradle,"('Pune, Maharashtra',)",6 Months,"₹ 7,000 /month",['Internship with job offer'],"['Creative Writing', 'Digital Marketing', 'Instagram Marketing', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Informal dress code', 'Job offer']",Hiring since June 2022,123 opportunities posted,2,,Be an early applicant,https://www.linkedin.com/company/engineers-cradle/
2456830,Dietetics/Nutrition Internship (Part time),Nikita Vakil,"('Mumbai',)",6 Months,"₹ 4,000-5,000 /month",['Internship with job offer'],"['Dietetics/Nutrition', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Job offer']",Hiring since December 2019,16 opportunities posted,1,5 candidates hired,Be an early applicant,https://www.instagram.com/nikita_vakil
2462200,Search Engine Optimization (SEO) Internship,Growify Digital,"('Delhi',)",6 Months,"₹ 10,000-15,000 /month",['Internship'],"['Digital Marketing', 'Email Marketing', 'English Proficiency (Written)', 'Search Engine Optimization (SEO)']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code', '5 days a week', 'Free snacks & beverages']",Hiring since February 2014,550 opportunities posted,2,36 candidates hired,Be an early applicant,https://www.growify.in/
2462003,Logistics Internship,Arcatron Mobility Private Limited,"('Pune',)",6 Months,"₹ 18,000 /month",['Internship'],,,Hiring since March 2023,119 opportunities posted,2,4 candidates hired,Be an early applicant,http://arcatron.com
2461911,Digital Marketing Internship,IDZ Digital Private Limited,"('Mumbai',)",3 Months,"₹ 8,000 /month",['Internship'],"['Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']","['Certificate', '5 days a week']",Hiring since November 2016,1019 opportunities posted,5,14 candidates hired,Be an early applicant,http://www.idzdigital.com/
2462365,Social Media Marketing Internship,Ayurveda House Private Limited,"('Delhi',)",3 Months,"₹ 10,000-12,000 /month",['Internship'],"['Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Instagram Marketing', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Informal dress code']",Hiring since June 2023,474 opportunities posted,1,6 candidates hired,Be an early applicant,http://ayuvya.com
2462210,Operations Internship,YourDOST Health Solutions,"('Bangalore',)",6 Months,"₹ 15,000-18,000 /month",['Internship with job offer'],"['Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office']","['Certificate', 'Flexible work hours', 'Informal dress code', '5 days a week', 'Job offer']",Hiring since March 2023,117 opportunities posted,1,,Be an early applicant,https://yourdost.com/
2461958,Strategy Consulting - Sustainability & Climate Tech Internship,Energy Alternatives India,"('Chennai',)",2 Months,"₹ 15,000 /month",['Internship'],"['Business Analysis', 'Business Research', 'Economics', 'Financial Modeling', 'Market Analysis', 'Problem Solving', 'Report Writing', 'Research and Analytics']","['Certificate', 'Letter of recommendation', 'Informal dress code']",Hiring since May 2022,84 opportunities posted,2,10 candidates hired,Be an early applicant,http://www.eai.in
2461944,Search Engine Optimization (SEO) Internship,SharePal,"('Bangalore',)",6 Months,"₹ 15,000-20,000 /month",['Internship with job offer'],"['Digital Marketing', 'English Proficiency (Written)', 'Google AdWords', 'Google Analytics', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)']","['Letter of recommendation', 'Flexible work hours', 'Informal dress code', 'Free snacks & beverages', 'Job offer']",Hiring since May 2017,108 opportunities posted,3,16 candidates hired,Be an early applicant,http://www.SharePal.in
2461823,Marketing Executive Internship,Link Promotions And Exhibits,"('Mumbai',)",4 Months,"₹ 8,000-10,000 /month",['Internship'],"['Client Relationship', 'Effective Communication', 'Email Marketing', 'Marketing', 'MS-Office', 'Sales pitch']","['Certificate', 'Flexible work hours', '5 days a week']",Hiring since March 2024,3 opportunities posted,2,,Be an early applicant,
2449817,Social Media Marketing Internship,Reya International,"('Noida',)",6 Months,"₹ 8,000 /month",['Internship'],"['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Optimization (SEO)', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Informal dress code']",Hiring since October 2023,11 opportunities posted,2,,Be an early applicant,
2461224,Business Development (Sales) Internship (Part time),SuperK,"('Mumbai',)",2 Months,"₹ 5,000 /month +  Incentives",['Internship'],['English Proficiency (Spoken)'],"['Certificate', 'Letter of recommendation', 'Flexible work hours']",Hiring since May 2023,5 opportunities posted,10,,Be an early applicant,http://superk.app
2461944,Search Engine Optimization (SEO) Internship,SharePal,"('Bangalore',)",6 Months,"₹ 15,000-20,000 /month",['Internship with job offer'],"['Digital Marketing', 'English Proficiency (Written)', 'Google AdWords', 'Google Analytics', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)']","['Letter of recommendation', 'Flexible work hours', 'Informal dress code', 'Free snacks & beverages', 'Job offer']",Hiring since May 2017,108 opportunities posted,3,16 candidates hired,Be an early applicant,http://www.SharePal.in
2462273,Real Estate Sales Internship,Homesync Real Estate Advisory Private Limited,"('Mumbai',)",3 Months,"₹ 15,000 /month",['Internship with job offer'],['Job offer'],['Job offer'],Hiring since January 2024,3 opportunities posted,20,,Be an early applicant,https://www.homesync.co.in/
2462020,Social Media Marketing Internship,Guruji Astro,"('Jaipur',)",6 Months,"₹ 8,000-12,000 /month",['Internship'],"['Creative Writing', 'Digital Marketing', 'English Proficiency (Spoken)', 'Instagram Marketing', 'Search Engine Optimization (SEO)', 'Social Media Marketing', 'Voice-over artist']","['Certificate', 'Letter of recommendation', 'Informal dress code']",Hiring since April 2019,615 opportunities posted,3,86 candidates hired,Be an early applicant,
2462295,Law/Legal Internship,Hamari Pahchan NGO,"('Delhi',)",3 Months,"₹ 3,000-5,000 /month",['Internship'],"['English Proficiency (Spoken)', 'English Proficiency (Written)']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']",Hiring since November 2016,635 opportunities posted,3,125789 candidates hired,Be an early applicant,
2462293,Business Development (Sales) Internship,Evogue Media LLP,"('Mumbai',)",3 Months,"₹ 10,000-12,000 /month",['Internship'],"['Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Sales pitch']","['Certificate', 'Letter of recommendation', 'Informal dress code']",Hiring since December 2018,242 opportunities posted,2,31 candidates hired,Be an early applicant,
2462228,Graphic Design Internship,Fabulous Media Private Limited,"('Gurgaon',)",6 Months,"₹ 5,000-15,000 /month",['Internship'],"['Adobe After Effects', 'Adobe Creative Suite', 'Adobe Illustrator', 'Adobe Indesign', 'Adobe Photoshop', 'Adobe Photoshop Lightroom CC', 'Adobe Premiere Pro', 'CorelDRAW', 'UI & UX Design', 'Video Editing']","['Certificate', 'Letter of recommendation', 'Informal dress code']",Hiring since September 2016,351 opportunities posted,5,16 candidates hired,Be an early applicant,https://fabulousmedia.in
2462216,Operations Internship,Right Health & Pharmaceuticals,"('Mumbai',)",3 Months,"₹ 10,000-40,000 /month",['Internship with job offer'],"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'MS-PowerPoint', 'MS-Word']","['Certificate', 'Letter of recommendation', 'Free snacks & beverages', 'Job offer']",Hiring since February 2023,92 opportunities posted,2,2 candidates hired,30 applicants,http://www.righthealthindia.com
2450244,Teaching Internship,Bricks 4 Kidz,"('Delhi',)",6 Months,"₹ 14,000-15,000 /month",['Internship'],"['English Proficiency (Spoken)', 'MS-Excel', 'MS-PowerPoint', 'MS-Word', 'Teaching']","['Certificate', 'Letter of recommendation', 'Flexible work hours']",Hiring since February 2018,65 opportunities posted,4,21 candidates hired,30 applicants,http://www.bricks4kidzindia.co.in/delhi
2462210,Operations Internship,YourDOST Health Solutions,"('Bangalore',)",6 Months,"₹ 15,000-18,000 /month",['Internship with job offer'],"['Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office']","['Certificate', 'Flexible work hours', 'Informal dress code', '5 days a week', 'Job offer']",Hiring since March 2023,117 opportunities posted,1,,Be an early applicant,https://yourdost.com/
2462130,Video Editing/Making Internship,APTAGRIM CONSULTING PRIVATE LIMITED,"('Hyderabad',)",3 Months,"₹ 15,000 /month",['Internship with job offer'],"['Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Final Cut Pro', 'Video Editing']","['Certificate', 'Letter of recommendation', '5 days a week', 'Free snacks & beverages', 'Job offer']",Hiring since March 2023,52 opportunities posted,1,12 candidates hired,Be an early applicant,https://aptagrim.com/
2461594,Business Development (Sales) Internship,7Entertainment,"('Mumbai',)",6 Months,"₹ 10,000 /month",['Internship'],"['Content Marketing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'Music', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Informal dress code', '5 days a week', 'Free snacks & beverages']",Hiring since July 2018,2 opportunities posted,4,,Be an early applicant,
2456830,Dietetics/Nutrition Internship (Part time),Nikita Vakil,"('Mumbai',)",6 Months,"₹ 4,000-5,000 /month",['Internship with job offer'],"['Dietetics/Nutrition', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Job offer']",Hiring since December 2019,16 opportunities posted,1,5 candidates hired,Be an early applicant,https://www.instagram.com/nikita_vakil
2461911,Digital Marketing Internship,IDZ Digital Private Limited,"('Mumbai',)",3 Months,"₹ 8,000 /month",['Internship'],"['Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']","['Certificate', '5 days a week']",Hiring since November 2016,1019 opportunities posted,5,14 candidates hired,Be an early applicant,http://www.idzdigital.com/
2461738,Field Services Internship,Planys Technologies Private Limited,"('Chennai',)",6 Months,"₹ 15,000 /month",['Internship'],"['AutoCAD', 'MS-Office']","['Certificate', 'Informal dress code', 'Free snacks & beverages']",Hiring since April 2024,4 opportunities posted,2,,Be an early applicant,http://planystech.com
2461706,Content Writing Internship,Requin Solutions Private Limited,"('Jaipur',)",6 Months,"₹ 10,000-12,000 /month",['Internship'],"['Creative Writing', 'English Proficiency (Written)', 'Research and Analytics']",['Certificate'],Hiring since September 2021,355 opportunities posted,10,60 candidates hired,Be an early applicant,
2462231,Executive Assistant To The CEO Internship,Right Health & Pharmaceuticals,"('Mumbai',)",3 Months,"₹ 10,000-30,000 /month",['Internship with job offer'],"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'MS-PowerPoint', 'MS-Word']","['Certificate', 'Letter of recommendation', 'Free snacks & beverages', 'Job offer']",Hiring since February 2023,92 opportunities posted,3,2 candidates hired,Be an early applicant,http://www.righthealthindia.com
2462219,Social Media Marketing Internship,Right Health & Pharmaceuticals,"('Mumbai',)",3 Months,"₹ 10,000-40,000 /month",['Internship with job offer'],"['Adobe After Effects', 'Adobe Photoshop Lightroom CC', 'Canva', 'Content Marketing', 'Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Social Media Marketing', 'Video Editing', 'Video Making']","['Certificate', 'Letter of recommendation', 'Free snacks & beverages', 'Job offer']",Hiring since February 2023,92 opportunities posted,3,2 candidates hired,Be an early applicant,http://www.righthealthindia.com
2462184,Digital Marketing Internship,Growify Digital,"('Delhi',)",6 Months,"₹ 10,000-15,000 /month",['Internship'],"['Digital Marketing', 'Email Marketing', 'Facebook Ads', 'Google AdWords', 'Instagram Marketing', 'Search Engine Optimization (SEO)']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code', '5 days a week', 'Free snacks & beverages']",Hiring since February 2014,550 opportunities posted,2,36 candidates hired,Be an early applicant,https://www.growify.in/
2462200,Search Engine Optimization (SEO) Internship,Growify Digital,"('Delhi',)",6 Months,"₹ 10,000-15,000 /month",['Internship'],"['Digital Marketing', 'Email Marketing', 'English Proficiency (Written)', 'Search Engine Optimization (SEO)']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code', '5 days a week', 'Free snacks & beverages']",Hiring since February 2014,550 opportunities posted,2,36 candidates hired,Be an early applicant,https://www.growify.in/
2461853,Accounting & Taxation Internship,Shreya Jain,"('Bhilai',)",3 Months,"₹ 2,500-10,000 /month",['Internship'],"['Accounting', 'Tally']",['Certificate'],Hiring since March 2024,8 opportunities posted,2,,Be an early applicant,http://omegafinancial.co.in
